Date,Item Code,Item Name,Consumed,Wasted,Order Placed,Order Qty,Season,Holiday/Event,Demand Spike
2024-06-03,SPR001,Steel Spring,75,3,Yes,600.0,Summer,,No
2024-06-03,BOL001,Hex Bolt M8,190,5,Yes,1200.0,Summer,,No
2024-06-03,ASM001,Spring Assembly,24,0,Yes,120.0,Summer,,No
2024-06-04,SPR001,Steel Spring,118,4,No,,Summer,,No
2024-06-04,BOL001,Hex Bolt M8,201,6,No,,Summer,,No
2024-06-04,ASM001,Spring Assembly,19,0,No,,Summer,,No
2024-06-05,SPR001,Steel Spring,90,5,No,,Summer,,No
2024-06-05,BOL001,Hex Bolt M8,211,6,No,,Summer,,No
2024-06-05,ASM001,Spring Assembly,18,1,No,,Summer,,No
2024-06-06,SPR001,Steel Spring,87,5,No,,Summer,,No
2024-06-06,BOL001,Hex Bolt M8,196,6,No,,Summer,,No
2024-06-06,ASM001,Spring Assembly,19,0,No,,Summer,,No
2024-06-07,SPR001,Steel Spring,105,6,No,,Summer,,No
2024-06-07,BOL001,Hex Bolt M8,147,6,No,,Summer,,No
2024-06-07,ASM001,Spring Assembly,21,2,No,,Summer,,No
2024-06-10,SPR001,Steel Spring,97,5,Yes,600.0,Summer,,No
2024-06-10,BOL001,Hex Bolt M8,181,5,Yes,1200.0,Summer,,No
2024-06-10,ASM001,Spring Assembly,20,0,Yes,120.0,Summer,,No
2024-06-11,SPR001,Steel Spring,109,5,No,,Summer,,No
2024-06-11,BOL001,Hex Bolt M8,168,6,No,,Summer,,No
2024-06-11,ASM001,Spring Assembly,21,2,No,,Summer,,No
2024-06-12,SPR001,Steel Spring,100,4,No,,Summer,,No
2024-06-12,BOL001,Hex Bolt M8,150,4,No,,Summer,,No
2024-06-12,ASM001,Spring Assembly,16,1,No,,Summer,,No
2024-06-13,SPR001,Steel Spring,90,3,No,,Summer,,No
2024-06-13,BOL001,Hex Bolt M8,211,8,No,,Summer,,No
2024-06-13,ASM001,Spring Assembly,23,2,No,,Summer,,No
2024-06-14,SPR001,Steel Spring,107,6,No,,Summer,,No
2024-06-14,BOL001,Hex Bolt M8,209,7,No,,Summer,,No
2024-06-14,ASM001,Spring Assembly,19,0,No,,Summer,,No
2024-06-17,SPR001,Steel Spring,87,3,Yes,600.0,Summer,,No
2024-06-17,BOL001,Hex Bolt M8,250,9,Yes,1200.0,Summer,,No
2024-06-17,ASM001,Spring Assembly,18,2,Yes,120.0,Summer,,No
2024-06-18,SPR001,Steel Spring,103,4,No,,Summer,,No
2024-06-18,BOL001,Hex Bolt M8,217,7,No,,Summer,,No
2024-06-18,ASM001,Spring Assembly,19,1,No,,Summer,,No
2024-06-19,SPR001,Steel Spring,97,3,No,,Summer,,No
2024-06-19,BOL001,Hex Bolt M8,199,6,No,,Summer,,No
2024-06-19,ASM001,Spring Assembly,19,1,No,,Summer,,No
2024-06-20,SPR001,Steel Spring,78,4,No,,Summer,,No
2024-06-20,BOL001,Hex Bolt M8,224,8,No,,Summer,,No
2024-06-20,ASM001,Spring Assembly,16,0,No,,Summer,,No
2024-06-21,SPR001,Steel Spring,102,5,No,,Summer,,No
2024-06-21,BOL001,Hex Bolt M8,204,8,No,,Summer,,No
2024-06-21,ASM001,Spring Assembly,18,2,No,,Summer,,No
2024-06-24,SPR001,Steel Spring,68,3,Yes,600.0,Summer,,No
2024-06-24,BOL001,Hex Bolt M8,172,6,Yes,1200.0,Summer,,No
2024-06-24,ASM001,Spring Assembly,20,1,Yes,120.0,Summer,,No
